content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
MESSAGING,27,ILP,DNF,0,-,-
MESSAGING,27,MST,13.7050,1,946.7750,163.4309
GAMING,27,DIR,0.0308,0,0.0000,0.0000
GAMING,27,HEU,0.8948,0,0.0000,0.0000
GAMING,27,ILP,165019.0187,0,0.0000,0.0000
GAMING,27,MST,35.7606,0,0.0000,0.0000
VIDEO,28,DIR,0.1488,1,5861.7750,62.4464
VIDEO,28,HEU,22.5489,1,1013.9300,115.9782
VIDEO,28,ILP,DNF,0,-,-
VIDEO,28,MST,15.3196,1,946.7750,163.5748
AUDIO,28,DIR,0.0482,1,5861.7750,62.4464
AUDIO,28,HEU,30.1034,1,1096.4300,107.6007
AUDIO,28,ILP,DNF,0,-,-
AUDIO,28,MST,13.6769,0,0.0000,0.0000
MESSAGING,28,DIR,0.0901,1,5861.7750,62.4464
MESSAGING,28,HEU,31.1122,1,1013.9300,115.9782
MESSAGING,28,ILP,DNF,0,-,-
MESSAGING,28,MST,13.9143,1,946.7750,163.5748
GAMING,28,DIR,0.0172,0,0.0000,0.0000
GAMING,28,HEU,0.9604,0,0.0000,0.0000
GAMING,28,ILP,80943.8717,0,0.0000,0.0000
GAMING,28,MST,39.7041,0,0.0000,0.0000
VIDEO,29,DIR,0.1502,1,5962.7750,61.7262
VIDEO,29,HEU,23.2148,1,1000.9300,116.3205
VIDEO,29,ILP,DNF,0,-,-
VIDEO,29,MST,15.2416,1,878.7750,79.3541
AUDIO,29,DIR,0.0589,1,5962.7750,61.7262
AUDIO,29,HEU,31.1420,1,1090.4300,109.1307
AUDIO,29,ILP,DNF,0,-,-
AUDIO,29,MST,30.8695,0,0.0000,0.0000
MESSAGING,29,DIR,0.0572,1,5962.7750,61.7262
MESSAGING,29,HEU,113.5986,1,1000.9300,116.3205
MESSAGING,29,ILP,DNF,0,-,-
MESSAGING,29,MST,32.5553,1,878.7750,79.3541
GAMING,29,DIR,0.0300,0,0.0000,0.0000
GAMING,29,HEU,0.9205,0,0.0000,0.0000
GAMING,29,ILP,108671.5984,0,0.0000,0.0000
GAMING,29,MST,31.3220,0,0.0000,0.0000
VIDEO,30,DIR,0.1657,1,6063.7750,61.0581
VIDEO,30,HEU,24.9739,1,997.7750,114.7849
VIDEO,30,ILP,DNF,0,-,-
VIDEO,30,MST,16.2399,1,878.7750,78.3883
AUDIO,30,DIR,0.0484,1,6063.7750,61.0581
AUDIO,30,HEU,34.0536,1,1086.4300,109.2413
AUDIO,30,ILP,DNF,0,-,-
AUDIO,30,MST,30.8514,0,0.0000,0.0000
MESSAGING,30,DIR,0.0608,1,6063.7750,61.0581
MESSAGING,30,HEU,83.7691,1,997.7750,114.7849
MESSAGING,30,ILP,DNF,0,-,-
MESSAGING,30,MST,31.0242,1,878.7750,78.3883
GAMING,30,DIR,0.0122,0,0.0000,0.0000
GAMING,30,HEU,0.8135,0,0.0000,0.0000
GAMING,30,ILP,281476.6436,0,0.0000,0.0000
GAMING,30,MST,13.7346,0,0.0000,0.0000
VIDEO,31,DIR,0.1557,1,6268.7750,61.4467
VIDEO,31,HEU,25.4352,1,997.7750,113.2280
VIDEO,31,ILP,DNF,0,-,-
VIDEO,31,MST,16.7606,1,878.7750,78.5254
AUDIO,31,DIR,0.0436,1,6268.7750,61.4467
AUDIO,31,HEU,33.8726,1,1086.4300,108.2525
AUDIO,31,ILP,DNF,0,-,-
AUDIO,31,MST,30.3726,0,0.0000,0.0000
